rank
32
36
NA
NA
50
46
41
NA
32
NA
43
NA
45
1
NA
32
NA
46
28
NA
33
49
1
22
45
46
46
45
43
NA
NA
1
NA
35
34
33
NA
NA
36
50
NA
41
NA
NA
36
50
NA
46
NA
32
50
17
NA
46
NA
33
46
33
46
NA
22
NA
NA
NA
NA
45
NA
50
24
33
NA
NA
1
NA
45
NA
35
35
17
NA
33
NA
NA
33
45
50
NA
26
47
32
33
50
43
NA
NA
31
25
NA
20
36
NA
1
33
34
33
42
26
NA
46
35
33
45
42
33
50
NA
NA
NA
1
27
48
10
31
35
NA
35
NA
26
NA
NA
32
45
15
NA
NA
NA
NA
22
28
NA
26
NA
50
31
8
36
NA
1
NA
41
NA
45
NA
32
NA
32
45
30
17
32
NA
33
45
1
35
NA
31
45
NA
NA
NA
NA
NA
49
NA
42
NA
1
45
50
NA
NA
NA
45
35
1
NA
NA
NA
45
NA
41
NA
45
NA
NA
33
45
46
NA
26
31
47
NA
NA
NA
NA
1
23
NA
10
NA
NA
50
1
41
NA
NA
33
44
35
NA
8
41
8
26
35
NA
8
NA
43
50
NA
6
NA
NA
NA
NA
49
NA
NA
47
45
NA
48
43
29
NA
49
33
38
48
45
NA
44
NA
NA
35
NA
NA
50
NA
47
NA
NA
18
38
NA
45
27
NA
31
11
NA
8
NA
42
NA
31
8
NA
NA
50
33
NA
NA
35
35
50
50
NA
45
33
45
NA
45
39
45
45
33
33
45
1
35
45
NA
32
36
26
46
NA
26
35
45
45
7
33
17
33
33
13
45
26
45
45
45
27
45
43
NA
35
NA
43
NA
NA
35
NA
45
1
35
41
35
45
22
NA
35
38
45
45
45
NA
1
NA
45
NA
45
36
35
35
36
35
NA
30
41
43
48
45
NA
36
NA
35
35
8
35
45
1
35
35
33
45
NA
45
36
NA
18
27
NA
45
45
NA
NA
8
39
NA
50
50
NA
NA
38
NA
26
11
45
45
NA
45
6
45
NA
NA
43
43
1
NA
30
45
NA
NA
NA
21
NA
NA
NA
NA
33
45
50
28
36
26
NA
33
25
11
45
46
35
NA
1
8
NA
40
8
1
NA
45
7
45
20
NA
1
44
35
45
26
41
NA
NA
NA
26
NA
45
17
45
50
NA
45
NA
NA
NA
26
45
43
NA
43
45
NA
NA
NA
33
44
45
NA
32
50
NA
33
45
28
NA
45
8
NA
45
35
33
50
45
NA
NA
20
NA
NA
NA
43
45
23
NA
45
45
33
35
45
35
44
49
43
8
NA
NA
45
50
20
NA
32
NA
NA
NA
49
NA
NA
NA
NA
NA
NA
NA
34
45
NA
45
31
8
NA
45
NA
NA
NA
45
45
NA
45
NA
NA
NA
NA
NA
NA
33
NA
45
47
26
NA
27
NA
48
26
45
45
8
45
45
33
1
NA
8
1
41
NA
32
45
26
NA
36
NA
1
NA
41
43
43
6
43
NA
46
26
8
NA
33
35
33
45
46
34
34
8
41
12
29
33
NA
50
34
35
NA
35
48
41
28
NA
NA
NA
NA
35
45
26
45
NA
45
NA
41
NA
1
NA
45
NA
NA
NA
NA
NA
NA
NA
NA
NA
45
NA
NA
NA
NA
NA
NA
47
NA
NA
NA
35
NA
NA
NA
NA
NA
NA
NA
45
NA
NA
NA
NA
NA
NA
NA
NA
49
NA
NA
NA
32
NA
43
NA
44
NA
31
42
NA
NA
NA
49
33
24
NA
NA
NA
NA
NA
NA
NA
NA
50
NA
39
47
35
45
43
46
NA
33
33
42
33
NA
NA
46
27
8
NA
NA
33
NA
31
NA
NA
NA
42
12
NA
NA
NA
31
NA
NA
NA
28
29
43
NA
33
NA
NA
46
NA
NA
NA
50
43
50
NA
NA
45
NA
NA
NA
41
NA
45
26
49
45
NA
32
NA
45
NA
NA
45
NA
20
NA
45
NA
NA
44
NA
NA
NA
NA
44
NA
35
NA
NA
34
NA
45
45
15
NA
27
NA
NA
NA
33
50
40
35
41
45
NA
NA
45
28
45
1
45
NA
45
35
45
36
50
NA
NA
42
18
NA
35
47
NA
NA
NA
35
NA
32
47
1
45
35
41
NA
41
34
45
NA
45
50
NA
33
8
NA
8
48
NA
33
45
46
NA
46
NA
46
32
34
29
NA
NA
NA
45
31
46
31
NA
NA
NA
32
46
32
NA
10
23
NA
NA
45
NA
NA
46
30
45
46
50
NA
27
46
48
46
44
46
10
NA
NA
NA
46
44
46
46
46
46
46
36
NA
44
50
50
NA
45
NA
27
26
30
43
46
44
NA
26
NA
26
NA
NA
8
NA
39
45
46
17
45
NA
42
45
NA
33
50
42
48
50
35
35
35
NA
50
NA
35
35
35
35
20
35
35
20
33
35
45
35
NA
NA
NA
35
46
NA
35
NA
45
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
41
NA
36
48
NA
NA
35
NA
NA
NA
16
NA
NA
33
NA
NA
NA
NA
8
32
NA
NA
32
NA
NA
NA
31
50
NA
NA
8
36
8
43
NA
NA
8
13
36
45
46
50
46
26
13
NA
33
1
45
NA
NA
48
46
NA
36
45
26
36
48
36
31
31
49
47
31
NA
NA
42
45
26
43
33
34
35
NA
NA
NA
NA
32
NA
35
32
NA
47
46
35
45
47
NA
26
11
45
47
17
NA
NA
11
8
36
NA
43
43
32
36
45
35
44
35
11
NA
17
NA
46
NA
NA
NA
NA
36
36
45
43
50
46
35
17
38
34
35
34
33
33
43
NA
35
45
39
NA
NA
45
NA
NA
NA
NA
31
35
NA
NA
8
33
7
NA
NA
NA
41
33
NA
33
38
NA
41
35
NA
46
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
33
NA
NA
36
49
45
NA
NA
NA
46
NA
NA
NA
31
NA
49
NA
NA
50
45
45
32
NA
NA
8
32
32
31
NA
NA
33
41
43
NA
17
33
45
36
36
44
30
26
38
NA
38
43
NA
NA
NA
NA
NA
NA
NA
50
NA
NA
50
NA
NA
NA
NA
NA
50
NA
NA
NA
NA
NA
NA
47
NA
NA
NA
NA
50
45
28
NA
NA
NA
NA
NA
NA
31
NA
NA
NA
NA
NA
NA
NA
45
NA
46
NA
NA
NA
NA
47
NA
NA
26
NA
35
45
45
NA
49
17
NA
32
45
49
32
